IFETCH : Cycle = 2 : Addresss = 1000 : Fetch Addresss = 1000 : ID = 0 : Cache Tag = 0 : Cache Index = 20 : ERAT Tag = 0 : ERAT Index = 1
IFETCH : L1 Hit : Cycle = 2 : ID = 0
IFETCH : Cycle = 4 : Addresss = 1010 : Fetch Addresss = 1010 : ID = 1 : Cache Tag = 0 : Cache Index = 20 : ERAT Tag = 0 : ERAT Index = 1
IFETCH : L1 Hit : Cycle = 4 : ID = 1
IFETCH : Cycle = 6 : Addresss = 1020 : Fetch Addresss = 1020 : ID = 2 : Cache Tag = 0 : Cache Index = 20 : ERAT Tag = 0 : ERAT Index = 1
IFETCH : L1 Hit : Cycle = 6 : ID = 2
DISPATCH : Cycle = 8 : Instruction = 1.0.0 : PC = 1000 : Addr = 0 : Mnemonic = add R3, R3, R7 : Opcode = 7c633a14
ISSUE-VQ8 : Cycle = 45 : Instruction = 8.0.0 : PC = 101c : Addr = 1000 : Mnemonic = lvx V3, R3, R8 : Pipeline = LdSt
ISSUE-IS2 : Cycle = 45 : Instruction = 14.0.0 : PC = 1034 : Addr = 1000 : Mnemonic = lvx V1, R4, R8 : Pipeline = LdSt
ISSUE-IS2 : Cycle = 46 : Instruction = 15.0.0 : PC = 1038 : Addr = 1000 : Mnemonic = lvx V2, R5, R8 : Pipeline = LdSt
COMPLETION-IS2 : Cycle = 47 : Instruction = 8.0.0 : PC = 101c : Mnemonic = lvx V3, R3, R8 : EA = 1000 : Pipeline = LdSt
LOAD : L1 Initial Hit : Cycle = 47 : Instruction = 13.0.0 : Effective Address = 1000 : Mnemonic = lvx V0, R3, R8
COMPLETION-IS2 : Cycle = 48 : Instruction = 9.0.0 : PC = 1020 : Mnemonic = add R3, R3, R7 : Pipeline = ALU
LOAD : L1 Initial Hit : Cycle = 48 : Instruction = 14.0.0 : Effective Address = 1000 : Mnemonic = lvx V1, R4, R8
ISSUE-IS2 : Cycle = 48 : Instruction = 16.0.0 : PC = 103c : Addr = 1000 : Mnemonic = lvx V3, R6, R8 : Pipeline = LdSt
LOAD : L1 Initial Hit : Cycle = 49 : Instruction = 15.0.0 : Effective Address = 1000 : Mnemonic = lvx V2, R5, R8
COMPLETION-IS2 : Cycle = 50 : Instruction = 10.0.0 : PC = 1024 : Mnemonic = add R4, R3, R7 : Pipeline = ALU
COMPLETION-VQ8 : Cycle = 51 : Instruction = 6.0.0 : PC = 1014 : Mnemonic = lvx V2, R3, R8 : EA = 1000 : Pipeline = LdSt
LOAD : L1 Initial Hit : Cycle = 51 : Instruction = 16.0.0 : Effective Address = 1000 : Mnemonic = lvx V3, R6, R8
COMPLETION-IS2 : Cycle = 52 : Instruction = 11.0.0 : PC = 1028 : Mnemonic = add R5, R4, R7 : Pipeline = ALU
ISSUE-VQ8 : Cycle = 53 : Instruction = 13.0.0 : PC = 1030 : Addr = 1000 : Mnemonic = lvx V0, R3, R8 : Pipeline = LdSt
COMPLETION-IS2 : Cycle = 54 : Instruction = 12.0.0 : PC = 102c : Mnemonic = add R6, R5, R7 : Pipeline = ALU
ISSUE-VQ8 : Cycle = 54 : Instruction = 14.0.0 : PC = 1034 : Addr = 1000 : Mnemonic = lvx V1, R4, R8 : Pipeline = LdSt
COMPLETION-IS2 : Cycle = 55 : Instruction = 13.0.0 : PC = 1030 : Mnemonic = lvx V0, R3, R8 : EA = 1000 : Pipeline = LdSt
ISSUE-VQ8 : Cycle = 55 : Instruction = 15.0.0 : PC = 1038 : Addr = 1000 : Mnemonic = lvx V2, R5, R8 : Pipeline = LdSt
COMPLETION-IS2 : Cycle = 56 : Instruction = 14.0.0 : PC = 1034 : Mnemonic = lvx V1, R4, R8 : EA = 1000 : Pipeline = LdSt
COMPLETION-VQ8 : Cycle = 57 : Instruction = 8.0.0 : PC = 101c : Mnemonic = lvx V3, R3, R8 : EA = 1000 : Pipeline = LdSt
COMPLETION-IS2 : Cycle = 57 : Instruction = 15.0.0 : PC = 1038 : Mnemonic = lvx V2, R5, R8 : EA = 1000 : Pipeline = LdSt
ISSUE-VQ8 : Cycle = 57 : Instruction = 16.0.0 : PC = 103c : Addr = 1000 : Mnemonic = lvx V3, R6, R8 : Pipeline = LdSt
COMPLETION-IS2 : Cycle = 59 : Instruction = 16.0.0 : PC = 103c : Mnemonic = lvx V3, R6, R8 : EA = 1000 : Pipeline = LdSt
COMPLETION-VQ8 : Cycle = 65 : Instruction = 13.0.0 : PC = 1030 : Mnemonic = lvx V0, R3, R8 : EA = 1000 : Pipeline = LdSt
COMPLETION-VQ8 : Cycle = 66 : Instruction = 14.0.0 : PC = 1034 : Mnemonic = lvx V1, R4, R8 : EA = 1000 : Pipeline = LdSt
COMPLETION-VQ8 : Cycle = 67 : Instruction = 15.0.0 : PC = 1038 : Mnemonic = lvx V2, R5, R8 : EA = 1000 : Pipeline = LdSt
COMPLETION-VQ8 : Cycle = 69 : Instruction = 16.0.0 : PC = 103c : Mnemonic = lvx V3, R6, R8 : EA = 1000 : Pipeline = LdSt
Report for ACTUALL2 of type TYPE_TARPIT
	Latency = 20.000000
End report for ACTUALL2
